vendor_id,vendor_name,capacity_contract_ratio,subcontract_share,yard_footprint_log,tech_staff_per_m,jqs_depth,expat_ratio,ncdf_compliance,prior_delivery,is_front
V0255,Riverside Drilling Partners Ltd.,0.445,0.615,2.278,1.521,6.881,0.421,0.48,5.0,1
V0256,Anchor Fabrication Services Ltd.,1.292,0.179,3.612,1.524,9.69,0.246,0.702,2.0,0
V0257,Oceanic Fabrication Nig. Ltd.,0.53,0.624,2.226,1.895,6.053,0.485,0.737,1.0,1
V0258,Coastline Oilfield Ltd.,1.377,0.141,2.585,1.648,8.036,0.37,0.774,4.0,0
V0259,Delta Technical Partners Ltd.,0.635,0.504,2.144,4.704,4.671,0.28,1.0,0.0,0
V0260,Riverside Drilling Solutions Ltd.,1.587,0.645,3.525,1.681,5.221,0.203,0.719,3.0,1
V0261,Akwa Marine Group Ltd.,1.456,0.39,2.088,1.688,2.944,0.196,0.736,5.0,0
V0262,Primewell Offshore Company Ltd.,0.502,0.356,3.762,2.635,12.582,0.357,0.614,2.0,0
V0263,Anchor Pipeline Partners Ltd.,0.821,0.667,3.841,2.405,8.196,0.38,0.384,3.0,0
V0264,Brass Drilling Services Ltd.,0.72,0.281,3.193,3.452,7.875,0.273,0.629,5.0,0
V0265,Warri Industrial Solutions Ltd.,0.763,0.38,3.588,2.089,4.639,0.05,0.501,6.0,0
V0266,Crestline Offshore Ltd.,1.413,0.487,1.772,2.159,4.607,0.0,0.642,3.0,0
V0267,Warri Technical Nig. Ltd.,0.308,0.897,4.703,2.982,3.775,0.341,0.892,2.0,1
V0268,Delta Petroleum Solutions Ltd.,0.05,0.558,3.957,3.318,7.833,0.273,1.0,6.0,0
V0269,Forcados Process Systems Ltd.,1.112,0.329,3.156,2.008,6.667,0.024,0.956,6.0,0
V0270,Rivers Engineering Services Ltd.,1.338,0.249,3.803,2.506,6.194,0.088,0.777,3.0,0
V0271,Eastport Process Ltd.,0.05,0.783,2.436,0.349,5.635,0.67,0.51,0.0,1
V0272,Eastport Energy Nig. Ltd.,0.747,0.582,2.4,0.423,2.903,0.375,0.372,4.0,1
V0273,Eastport Oilfield Systems Ltd.,0.264,0.785,3.782,0.444,7.628,0.408,0.578,4.0,1
V0274,Akwa Integrated Nig. Ltd.,1.105,0.27,4.517,0.62,4.086,0.0,0.781,6.0,0
V0275,Akwa Process Services Ltd.,0.596,0.523,2.814,0.149,7.16,0.44,0.775,1.0,1
V0276,Brass Maritime Partners Ltd.,0.213,0.662,4.196,2.112,8.634,0.448,0.314,4.0,1
V0277,Trident Technical Group Ltd.,0.747,0.373,4.055,2.033,8.276,0.251,0.922,5.0,0
V0278,Coastline Integrated Ltd.,0.05,1.0,1.0,1.816,0.927,0.425,0.203,1.0,1
V0279,Southfield Technical Company Ltd.,0.438,0.456,2.902,4.499,7.172,0.466,0.796,5.0,0
V0280,Eastport Maritime Partners Ltd.,1.125,0.171,3.118,3.428,4.339,0.321,0.635,0.0,0
V0281,Anchor Oilfield Group Ltd.,1.667,0.364,3.306,2.704,10.168,0.431,0.8,8.0,0
V0282,Bayelsa Offshore Systems Ltd.,0.836,0.145,3.447,5.118,9.613,0.133,0.79,6.0,0
V0283,Oceanic Integrated Group Ltd.,0.575,0.253,5.6,2.814,13.485,0.192,0.536,3.0,0
V0284,Primewell Marine Ltd.,0.793,0.231,3.389,3.427,6.328,0.326,0.513,0.0,0
V0285,Escravos Energy Systems Ltd.,0.71,0.881,2.966,1.841,7.786,0.161,0.455,3.0,1
V0286,Gulf Industrial Solutions Ltd.,1.171,0.454,2.538,5.108,0.0,0.351,0.254,0.0,0
V0287,Forcados Marine Partners Ltd.,0.244,0.917,2.533,0.186,0.0,0.411,0.494,4.0,1
V0288,Rivers Maritime Nig. Ltd.,0.685,0.228,3.47,3.903,7.207,0.047,0.39,2.0,0
V0289,Harcourt Drilling Ltd.,1.53,0.265,3.792,3.44,9.81,0.149,0.891,3.0,0
V0290,Bonny Technical Partners Ltd.,0.781,0.44,4.704,3.163,3.6,0.159,0.643,4.0,0
V0291,Beacon Subsea Services Ltd.,0.417,0.219,1.703,3.861,9.832,0.544,0.468,8.0,0
V0292,Rivers Process Ltd.,0.744,0.672,3.257,1.02,6.8,0.421,0.773,2.0,1
V0293,Primewell Offshore Nig. Ltd.,0.355,0.457,3.145,1.045,7.054,0.417,0.778,0.0,0
V0294,Westgate Marine Nig. Ltd.,0.57,0.502,3.628,2.616,2.433,0.199,1.0,3.0,0
V0295,Warri Integrated Solutions Ltd.,0.916,0.413,4.919,2.651,8.473,0.483,0.728,5.0,0
V0296,Westgate Process Services Ltd.,0.943,0.482,5.452,3.428,3.769,0.28,0.57,4.0,0
V0297,Meridian Process Ltd.,1.328,1.0,1.703,1.603,7.71,0.622,0.615,2.0,1
V0298,Highland Oilfield Solutions Ltd.,1.09,0.668,4.631,2.863,10.556,0.514,0.831,0.0,1
V0299,Bayelsa Offshore Partners Ltd.,1.084,0.171,3.505,2.391,12.235,0.383,0.845,5.0,0
V0300,Warri Engineering Nig. Ltd.,1.245,0.516,3.548,1.823,7.328,0.225,0.687,5.0,0
V0301,Vanguard Oilfield Services Ltd.,0.16,0.485,1.55,2.545,0.727,0.346,0.528,6.0,1
V0302,Delta Offshore Nig. Ltd.,0.395,0.222,4.688,0.0,5.439,0.336,0.881,7.0,0
V0303,Pinnacle Subsea Nig. Ltd.,0.805,0.229,3.712,2.791,8.812,0.271,0.572,3.0,0
V0304,Seabright Engineering Ltd.,0.576,0.61,2.681,0.0,2.694,0.238,0.755,2.0,1
V0305,Crestline Process Nig. Ltd.,1.004,0.082,3.425,1.692,2.503,0.127,1.0,5.0,0
V0306,Calabar Pipeline Nig. Ltd.,1.245,0.426,3.297,1.745,13.784,0.056,0.726,8.0,0
V0307,Oceanic Offshore Systems Ltd.,0.878,0.494,3.029,3.377,10.011,0.082,0.573,5.0,0
V0308,Bonny Offshore Company Ltd.,1.12,0.503,3.387,0.0,8.337,0.193,0.935,3.0,0
V0309,Escravos Energy Partners Ltd.,0.427,0.514,3.888,0.978,11.782,0.052,0.706,0.0,0
V0310,Forcados Marine Group Ltd.,0.05,0.708,2.697,1.632,4.352,0.342,0.765,1.0,1
V0311,Calabar Process Company Ltd.,0.947,0.294,5.166,1.931,2.649,0.218,0.619,2.0,0
V0312,Highland Industrial Services Ltd.,0.34,0.45,3.432,2.072,10.62,0.015,0.739,4.0,0
V0313,Highland Fabrication Group Ltd.,0.494,0.413,3.249,2.619,7.525,0.134,0.689,6.0,0
V0314,Warri Technical Solutions Ltd.,0.583,0.365,3.824,2.156,3.579,0.294,0.94,6.0,0
V0315,Beacon Energy Group Ltd.,1.425,0.644,4.508,2.813,10.845,0.399,0.943,0.0,1
V0316,Beacon Maritime Company Ltd.,0.386,0.132,2.689,1.932,4.688,0.27,0.911,0.0,0
V0317,Akwa Marine Nig. Ltd.,0.621,0.688,2.736,1.48,5.205,0.34,0.976,6.0,0
V0318,Atlas Process Systems Ltd.,0.259,0.621,3.291,1.162,2.935,0.281,0.927,0.0,0
V0319,Gulf Offshore Nig. Ltd.,0.533,0.496,2.937,2.16,8.574,0.548,0.68,6.0,1
V0320,Crestline Energy Partners Ltd.,0.603,0.678,4.717,3.09,6.729,0.186,0.915,2.0,0
V0321,Westfield Technical Ltd.,0.05,0.408,4.924,2.653,4.281,0.198,0.408,1.0,0
V0322,Highland Technical Partners Ltd.,1.583,0.272,4.336,4.556,11.227,0.346,0.635,3.0,0
V0323,Westfield Petroleum Partners Ltd.,0.462,0.541,3.5,1.752,5.151,0.306,0.671,9.0,0
V0324,Qua Iboe Pipeline Group Ltd.,0.05,0.655,1.0,0.301,0.0,0.484,0.399,0.0,1
V0325,Bonny Engineering Company Ltd.,1.178,0.696,3.044,0.107,10.886,0.38,0.871,4.0,0
V0326,Highland Offshore Partners Ltd.,0.538,0.205,3.765,1.061,0.861,0.097,0.693,0.0,0
V0327,Gulf Industrial Company Ltd.,0.099,0.342,3.594,2.69,9.958,0.313,0.818,4.0,0
V0328,Oceanic Maritime Solutions Ltd.,1.286,0.0,3.528,1.983,12.685,0.32,0.824,7.0,0
V0329,Atlas Offshore Group Ltd.,0.405,0.493,3.265,1.224,8.242,0.411,0.595,6.0,0
V0330,Niger Technical Ltd.,0.77,0.159,4.403,2.942,2.62,0.346,0.575,0.0,0
V0331,Anchor Marine Solutions Ltd.,0.171,0.759,3.111,0.0,0.0,0.555,0.21,0.0,1
V0332,Delta Process Nig. Ltd.,0.363,0.525,4.148,4.217,8.462,0.503,0.858,2.0,1
V0333,Oceanic Offshore Services Ltd.,0.979,0.33,4.287,2.845,7.331,0.311,0.771,4.0,0
V0334,Pinnacle Offshore Systems Ltd.,1.119,0.4,4.611,1.899,8.164,0.074,0.844,2.0,0
V0335,Summit Maritime Solutions Ltd.,0.834,0.398,3.459,1.186,11.24,0.201,0.784,3.0,0
V0336,Oceanic Energy Nig. Ltd.,0.657,0.515,4.523,1.416,6.199,0.327,0.998,3.0,0
V0337,Onne Petroleum Nig. Ltd.,0.304,0.307,3.481,2.122,6.154,0.313,0.507,0.0,0
V0338,Forcados Offshore Systems Ltd.,1.908,0.513,2.717,4.052,9.365,0.3,0.753,4.0,0
V0339,Warri Engineering Ltd.,0.604,0.465,2.085,1.437,3.431,0.555,0.565,3.0,1
V0340,Bayelsa Industrial Nig. Ltd.,1.413,0.365,1.97,2.251,5.1,0.404,0.823,6.0,0
V0341,Bayelsa Marine Group Ltd.,1.233,0.745,4.592,1.237,2.086,0.327,1.0,6.0,0
V0342,Akwa Petroleum Partners Ltd.,0.16,0.831,2.521,0.728,1.787,0.574,0.611,0.0,1
V0343,Vanguard Pipeline Services Ltd.,0.563,0.475,3.398,3.69,7.756,0.249,0.748,3.0,0
V0344,Niger Technical Nig. Ltd.,1.838,0.519,3.145,3.706,6.294,0.417,0.645,3.0,0
V0345,Warri Subsea Partners Ltd.,0.385,0.647,4.129,2.735,8.498,0.435,0.861,0.0,0
V0346,Warri Maritime Company Ltd.,0.748,0.307,5.175,0.571,10.604,0.111,0.786,4.0,0
V0347,Westfield Oilfield Solutions Ltd.,1.083,0.461,3.026,2.07,6.21,0.225,0.834,8.0,0
V0348,Calabar Process Services Ltd.,0.731,1.0,3.197,1.054,6.163,0.537,0.598,3.0,1
V0349,Bonny Maritime Group Ltd.,0.863,0.395,3.715,0.0,3.112,0.188,1.0,6.0,0
V0350,Southfield Maritime Partners Ltd.,1.192,0.644,4.373,2.262,6.39,0.163,0.745,5.0,0
V0351,Meridian Pipeline Group Ltd.,0.6,0.434,3.078,1.046,9.882,0.367,0.921,0.0,0
V0352,Primewell Marine Nig. Ltd.,0.694,0.711,3.447,0.931,6.996,0.352,0.691,2.0,0
V0353,Akwa Industrial Systems Ltd.,0.268,0.525,3.341,2.647,6.692,0.201,0.696,9.0,0
V0354,Escravos Energy Nig. Ltd.,0.738,0.956,2.104,0.348,8.845,0.189,0.352,0.0,1
V0355,Pinnacle Oilfield Ltd.,0.579,0.556,3.517,1.677,7.342,0.252,0.536,1.0,1
V0356,Onne Drilling Partners Ltd.,1.213,0.529,4.001,2.281,6.18,0.36,0.761,3.0,1
V0357,Summit Drilling Services Ltd.,2.242,0.306,3.193,0.751,8.698,0.295,0.547,3.0,0
V0358,Gulf Pipeline Solutions Ltd.,1.443,0.652,3.9,2.471,7.667,0.153,0.748,6.0,0
V0359,Forcados Technical Group Ltd.,0.05,0.644,1.671,2.946,5.188,0.333,0.544,2.0,1
V0360,Westgate Engineering Systems Ltd.,0.76,0.313,3.65,1.024,4.686,0.19,0.587,7.0,0
V0361,Summit Integrated Company Ltd.,1.302,0.484,4.225,2.454,2.603,0.363,0.58,8.0,0
V0362,Northgate Petroleum Nig. Ltd.,1.93,0.435,3.196,2.92,4.913,0.231,0.822,5.0,0
V0363,Onne Engineering Systems Ltd.,1.27,0.178,3.123,3.149,11.133,0.358,0.521,5.0,0
V0364,Oceanic Maritime Ltd.,0.328,0.751,3.647,2.464,6.824,0.486,0.687,2.0,1
V0365,Oceanic Energy Partners Ltd.,1.479,0.318,2.06,4.372,3.237,0.053,0.714,0.0,0
V0366,Coastline Fabrication Nig. Ltd.,1.128,0.66,2.854,2.846,8.13,0.361,0.909,7.0,0
V0367,Highland Technical Nig. Ltd.,0.615,0.27,4.264,4.187,11.308,0.164,0.919,5.0,0
V0368,Warri Process Systems Ltd.,1.194,0.443,3.959,1.617,6.018,0.095,0.931,7.0,0
V0369,Onne Drilling Nig. Ltd.,1.399,0.266,3.705,2.069,3.782,0.022,0.751,4.0,0
V0370,Calabar Drilling Solutions Ltd.,0.792,0.248,2.357,3.769,6.406,0.12,0.951,3.0,0
V0371,Crestline Petroleum Systems Ltd.,0.52,0.683,4.896,1.349,4.509,0.182,0.751,9.0,0
V0372,Rivers Drilling Systems Ltd.,1.525,0.542,3.143,2.349,12.777,0.247,0.979,4.0,0
V0373,Northgate Process Ltd.,0.382,0.766,3.207,0.534,6.913,0.452,0.466,2.0,1
V0374,Seabright Technical Group Ltd.,0.431,0.322,4.454,2.538,8.663,0.386,0.654,4.0,0
V0375,Akwa Maritime Partners Ltd.,0.05,0.735,1.807,0.691,3.376,0.406,0.666,2.0,1
V0376,Brass Energy Ltd.,1.227,0.0,4.422,3.443,8.792,0.03,0.554,2.0,0
V0377,Harcourt Maritime Nig. Ltd.,0.159,0.584,3.468,0.495,0.0,0.269,0.88,3.0,0
V0378,Seabright Subsea Ltd.,0.415,0.497,4.438,2.273,6.121,0.264,0.847,2.0,1
V0379,Crestline Maritime Group Ltd.,0.735,0.867,4.409,1.631,7.668,0.289,0.719,6.0,1
V0380,Primewell Process Nig. Ltd.,0.802,0.184,3.375,1.593,2.598,0.0,0.884,5.0,0
V0381,Southfield Marine Company Ltd.,0.778,0.259,3.741,2.801,5.438,0.0,0.484,3.0,0
V0382,Riverside Pipeline Company Ltd.,0.27,0.597,3.165,0.844,7.601,0.325,0.584,2.0,1
V0383,Atlas Energy Company Ltd.,0.05,0.871,1.416,0.432,4.292,0.633,0.408,3.0,1
V0384,Trident Pipeline Solutions Ltd.,1.0,0.615,3.082,3.563,7.623,0.349,0.804,0.0,0
V0385,Warri Petroleum Group Ltd.,1.334,0.263,3.664,3.777,8.043,0.158,0.662,0.0,0
V0386,Westgate Fabrication Services Ltd.,0.288,0.858,2.772,0.755,3.944,0.497,0.599,0.0,1
V0387,Qua Iboe Maritime Services Ltd.,1.17,0.561,3.892,4.137,9.672,0.421,0.866,3.0,0
V0388,Rivers Drilling Group Ltd.,0.575,0.813,2.898,2.218,7.31,0.131,0.385,5.0,1
V0389,Niger Pipeline Ltd.,0.95,1.0,2.014,0.455,6.194,0.244,0.531,0.0,1
V0390,Westfield Industrial Ltd.,1.745,0.198,3.164,2.166,9.727,0.426,0.579,4.0,0
V0391,Meridian Maritime Systems Ltd.,1.381,0.579,2.126,3.92,10.394,0.263,0.959,1.0,0
V0392,Rivers Pipeline Solutions Ltd.,1.396,0.569,3.661,2.743,6.065,0.136,0.897,6.0,0
V0393,Seabright Marine Solutions Ltd.,0.655,0.81,2.72,4.004,3.614,0.434,0.415,3.0,1
V0394,Vanguard Drilling Solutions Ltd.,0.316,0.817,2.02,1.897,8.826,0.332,0.725,0.0,1
V0395,Northgate Integrated Company Ltd.,0.05,0.559,3.397,3.192,4.372,0.202,0.809,2.0,1
V0396,Northgate Maritime Systems Ltd.,1.148,0.262,2.362,2.378,1.576,0.248,0.795,1.0,0
V0397,Bonny Petroleum Partners Ltd.,0.306,0.987,2.061,2.36,5.605,0.652,0.408,2.0,1
V0398,Northgate Integrated Ltd.,1.152,0.266,3.107,3.188,5.631,0.092,0.529,2.0,0
V0399,Oceanic Process Systems Ltd.,1.365,0.401,3.293,3.878,8.039,0.111,0.979,6.0,0
V0400,Southfield Maritime Systems Ltd.,1.873,0.322,2.607,0.469,3.616,0.318,0.436,7.0,0
V0401,Summit Oilfield Partners Ltd.,0.433,0.55,2.324,1.051,1.468,0.166,0.999,0.0,0
V0402,Gulf Petroleum Group Ltd.,0.993,0.202,3.268,2.823,8.507,0.191,0.773,6.0,0
V0403,Delta Drilling Nig. Ltd.,0.999,0.296,3.432,2.924,10.841,0.187,1.0,6.0,0
V0404,Pinnacle Process Systems Ltd.,0.714,0.678,2.718,1.216,7.13,0.302,0.642,6.0,1
V0405,Westfield Drilling Group Ltd.,1.386,0.577,3.796,2.882,3.078,0.449,0.893,2.0,0
V0406,Primewell Petroleum Company Ltd.,0.955,0.59,4.157,3.328,0.97,0.314,0.28,3.0,1
V0407,Warri Process Ltd.,0.41,0.522,2.095,2.047,5.218,0.25,0.891,5.0,0
V0408,Summit Maritime Partners Ltd.,1.037,0.442,2.45,2.305,9.224,0.315,0.492,3.0,0
V0409,Escravos Subsea Solutions Ltd.,1.013,0.268,3.834,0.464,2.816,0.117,0.649,4.0,0
V0410,Bayelsa Drilling Company Ltd.,0.685,0.473,3.464,0.912,8.569,0.165,0.982,6.0,0
V0411,Pinnacle Oilfield Services Ltd.,1.192,0.184,3.494,1.703,5.152,0.121,0.746,6.0,0
V0412,Akwa Process Group Ltd.,0.291,0.946,1.309,0.754,0.802,0.365,0.371,1.0,1
V0413,Escravos Drilling Systems Ltd.,2.194,0.487,3.622,3.208,7.12,0.246,0.786,4.0,0
V0414,Forcados Pipeline Ltd.,0.311,0.832,3.027,2.71,7.167,0.326,1.0,4.0,1
V0415,Forcados Pipeline Nig. Ltd.,0.604,0.599,2.543,2.396,5.925,0.185,0.739,2.0,0
V0416,Oceanic Process Partners Ltd.,0.902,0.247,4.258,2.458,9.632,0.237,0.753,3.0,0
V0417,Niger Engineering Company Ltd.,0.64,0.853,4.658,0.934,7.055,0.55,0.592,0.0,1
V0418,Beacon Subsea Solutions Ltd.,0.05,0.898,1.943,0.701,0.0,0.194,0.439,3.0,1
V0419,Atlas Technical Company Ltd.,0.814,0.191,2.556,3.145,8.141,0.209,0.66,0.0,0
V0420,Anchor Petroleum Systems Ltd.,1.044,0.285,2.559,2.601,3.038,0.51,0.764,3.0,0
V0421,Seabright Industrial Partners Ltd.,1.317,0.604,4.377,3.467,5.834,0.38,0.658,2.0,0
V0422,Eastport Integrated Partners Ltd.,0.99,0.383,2.834,3.938,7.496,0.274,0.698,1.0,0
V0423,Seabright Pipeline Services Ltd.,0.419,0.434,3.061,2.313,1.191,0.288,0.469,1.0,0
V0424,Trident Marine Nig. Ltd.,0.518,0.382,4.096,1.242,2.194,0.299,0.467,4.0,0
V0425,Onne Drilling Solutions Ltd.,0.687,0.303,3.22,1.877,15.0,0.362,0.809,3.0,0
V0426,Westgate Maritime Partners Ltd.,1.026,0.316,3.541,3.806,6.87,0.289,0.731,4.0,0
V0427,Highland Energy Nig. Ltd.,1.049,0.461,4.083,3.088,11.994,0.274,0.6,6.0,0
V0428,Anchor Integrated Partners Ltd.,0.88,0.389,3.918,4.477,14.686,0.262,0.529,0.0,0
V0429,Forcados Industrial Group Ltd.,0.371,0.471,2.906,4.118,12.091,0.098,0.777,3.0,0
V0430,Westfield Fabrication Partners Ltd.,0.279,0.367,3.853,2.183,8.324,0.382,0.865,5.0,0
V0431,Trident Integrated Nig. Ltd.,1.23,0.667,2.053,1.359,3.683,0.185,0.752,0.0,0
V0432,Gulf Drilling Services Ltd.,0.301,0.431,2.635,1.707,5.533,0.189,0.307,2.0,1
V0433,Akwa Integrated Systems Ltd.,0.152,0.174,4.475,1.728,13.676,0.235,0.543,6.0,0
V0434,Bayelsa Maritime Ltd.,0.851,0.54,3.002,2.271,2.474,0.178,0.634,6.0,0
V0435,Forcados Oilfield Partners Ltd.,1.12,0.42,3.671,2.812,11.947,0.429,1.0,5.0,0
V0436,Bayelsa Offshore Group Ltd.,0.693,0.704,5.007,1.823,10.845,0.17,0.548,3.0,0
V0437,Qua Iboe Fabrication Nig. Ltd.,0.05,0.906,1.952,2.54,1.802,0.628,0.339,3.0,1
V0438,Eastport Drilling Systems Ltd.,0.579,0.751,2.561,2.524,0.0,0.382,0.492,0.0,1
V0439,Escravos Integrated Services Ltd.,0.572,0.381,3.264,1.502,5.359,0.0,0.573,6.0,0
V0440,Atlas Process Ltd.,0.711,0.641,3.109,0.0,8.365,0.099,0.411,0.0,1
V0441,Pinnacle Marine Company Ltd.,0.26,0.396,2.387,2.177,3.405,0.174,0.474,0.0,0
V0442,Beacon Drilling Ltd.,1.011,0.184,4.373,3.284,7.91,0.174,0.655,7.0,0
V0443,Anchor Process Solutions Ltd.,0.665,0.378,3.057,3.363,5.756,0.047,0.641,4.0,0
V0444,Rivers Engineering Systems Ltd.,0.479,0.32,4.614,2.573,7.622,0.334,0.512,6.0,0
V0445,Gulf Pipeline Services Ltd.,1.353,0.541,3.377,3.184,4.886,0.385,0.774,3.0,0
V0446,Highland Subsea Services Ltd.,1.353,0.128,3.122,1.696,9.574,0.2,0.719,3.0,0
V0447,Primewell Integrated Systems Ltd.,1.633,0.572,3.746,4.27,11.126,0.422,0.721,7.0,0
V0448,Qua Iboe Integrated Nig. Ltd.,0.828,0.611,3.094,4.315,8.455,0.387,0.761,1.0,0
V0449,Crestline Subsea Group Ltd.,1.089,0.667,2.592,0.653,7.445,0.265,0.598,3.0,1
V0450,Coastline Maritime Services Ltd.,0.882,0.285,1.936,3.232,11.797,0.312,0.553,0.0,0
V0451,Coastline Marine Ltd.,1.292,0.514,4.251,1.807,11.284,0.222,0.662,0.0,0
V0452,Primewell Engineering Group Ltd.,0.842,0.376,4.318,5.571,2.81,0.169,1.0,6.0,0
V0453,Bonny Subsea Solutions Ltd.,0.258,0.439,4.831,2.81,5.831,0.32,1.0,4.0,0
V0454,Westfield Subsea Ltd.,1.321,0.473,1.162,6.083,15.0,0.223,0.882,4.0,0
V0455,Meridian Fabrication Services Ltd.,0.809,0.481,3.585,1.156,4.66,0.021,0.687,2.0,0
V0456,Escravos Marine Solutions Ltd.,0.279,0.749,2.304,0.829,7.354,0.51,0.335,1.0,1
V0457,Northgate Drilling Systems Ltd.,1.444,0.63,5.022,1.036,1.159,0.352,0.793,0.0,0
V0458,Qua Iboe Oilfield Company Ltd.,0.622,0.737,1.78,1.172,6.754,0.605,0.63,3.0,1
V0459,Riverside Offshore Solutions Ltd.,2.131,0.342,3.292,4.475,9.483,0.086,0.752,3.0,0
V0460,Pinnacle Engineering Solutions Ltd.,1.07,0.451,4.735,2.453,4.029,0.138,0.653,3.0,0
V0461,Beacon Integrated Services Ltd.,1.337,0.57,3.966,4.333,0.0,0.274,0.832,4.0,0
V0462,Anchor Petroleum Group Ltd.,0.679,0.79,1.292,2.931,10.719,0.205,0.651,5.0,1
V0463,Warri Petroleum Systems Ltd.,1.079,0.528,4.474,2.238,3.879,0.117,1.0,0.0,0
V0464,Delta Drilling Ltd.,0.629,0.437,3.489,0.075,0.0,0.564,0.377,1.0,1
V0465,Bonny Industrial Group Ltd.,0.964,0.372,4.341,3.441,12.219,0.069,0.766,7.0,0
V0466,Brass Oilfield Systems Ltd.,1.432,0.464,3.883,0.0,8.771,0.36,0.992,1.0,0
V0467,Summit Petroleum Solutions Ltd.,0.996,0.81,4.752,1.955,9.97,0.271,0.727,2.0,1
V0468,Northgate Engineering Nig. Ltd.,1.255,0.636,4.443,1.67,5.286,0.306,0.956,5.0,0
V0469,Bayelsa Process Group Ltd.,1.125,0.453,3.51,1.975,1.973,0.183,0.767,5.0,1
V0470,Crestline Energy Company Ltd.,0.477,0.174,4.011,3.561,2.74,0.0,0.679,1.0,0
V0471,Crestline Energy Nig. Ltd.,1.265,0.45,2.925,4.69,8.738,0.186,0.95,8.0,0
V0472,Onne Oilfield Systems Ltd.,0.05,1.0,2.701,0.25,4.327,0.792,0.436,0.0,1
V0473,Niger Maritime Solutions Ltd.,1.526,0.436,2.339,2.619,4.594,0.152,0.815,8.0,0
V0474,Akwa Energy Nig. Ltd.,0.43,0.507,5.25,2.702,6.709,0.406,0.812,3.0,0
V0475,Meridian Subsea Solutions Ltd.,0.485,0.937,2.218,0.653,0.0,0.43,0.378,1.0,1
V0476,Oceanic Technical Services Ltd.,0.917,0.416,2.764,4.324,2.707,0.091,0.327,0.0,0
V0477,Anchor Integrated Services Ltd.,0.922,0.457,3.777,1.548,12.242,0.107,0.778,0.0,0
V0478,Trident Pipeline Partners Ltd.,0.424,0.437,3.425,1.771,2.118,0.282,0.776,3.0,0
V0479,Calabar Process Group Ltd.,1.548,0.391,4.726,3.608,3.04,0.111,0.709,2.0,0
V0480,Trident Pipeline Nig. Ltd.,0.964,0.655,2.473,0.68,4.677,0.148,0.732,1.0,0
V0481,Bayelsa Offshore Company Ltd.,1.244,0.333,3.576,3.362,10.136,0.331,0.845,0.0,0
V0482,Anchor Maritime Company Ltd.,0.579,0.557,4.417,2.962,8.067,0.269,0.586,0.0,1
V0483,Summit Subsea Company Ltd.,1.346,0.483,2.482,1.967,9.675,0.311,0.575,6.0,0
V0484,Anchor Technical Nig. Ltd.,1.146,0.317,4.552,0.255,3.901,0.258,0.855,5.0,0
V0485,Calabar Subsea Group Ltd.,0.127,0.508,4.363,1.787,10.378,0.0,0.965,5.0,0
V0486,Warri Technical Company Ltd.,0.356,0.474,3.928,1.654,1.537,0.632,0.621,2.0,1
V0487,Forcados Fabrication Company Ltd.,0.871,0.282,2.343,3.647,6.199,0.381,0.794,3.0,0
V0488,Escravos Subsea Systems Ltd.,0.682,0.752,3.551,1.675,13.101,0.367,0.526,8.0,0
V0489,Pinnacle Process Partners Ltd.,0.724,0.402,3.554,2.835,7.918,0.291,0.438,4.0,0
V0490,Coastline Industrial Group Ltd.,1.233,0.555,2.182,2.853,6.445,0.339,0.77,3.0,0
V0491,Northgate Industrial Nig. Ltd.,0.05,0.363,3.757,2.915,2.63,0.396,0.876,6.0,0
V0492,Brass Oilfield Partners Ltd.,1.177,0.122,2.214,4.78,8.35,0.363,0.759,1.0,0
V0493,Summit Process Systems Ltd.,0.396,0.585,3.138,2.282,0.0,0.311,0.524,1.0,1
V0494,Westgate Technical Group Ltd.,1.853,0.719,3.376,2.396,3.603,0.2,0.703,10.0,0
V0495,Seabright Energy Group Ltd.,0.358,0.63,2.354,3.456,3.726,0.349,1.0,3.0,1
V0496,Bonny Technical Services Ltd.,0.508,0.471,2.089,3.777,7.497,0.133,0.688,0.0,0
V0497,Gulf Maritime Group Ltd.,0.852,0.524,3.772,0.418,13.878,0.369,0.781,1.0,0
V0498,Gulf Pipeline Nig. Ltd.,0.875,0.156,3.53,3.194,0.639,0.079,0.331,3.0,0
V0499,Niger Energy Partners Ltd.,0.394,0.795,1.788,0.932,3.976,0.458,0.534,0.0,1
V0500,Qua Iboe Maritime Nig. Ltd.,1.202,0.455,2.263,2.91,6.904,0.349,0.569,3.0,0
V0501,Crestline Fabrication Nig. Ltd.,0.952,0.337,3.43,2.441,6.356,0.366,0.648,3.0,0
V0502,Oceanic Marine Partners Ltd.,1.279,0.594,4.169,2.931,6.33,0.12,0.991,4.0,0
V0503,Warri Fabrication Group Ltd.,0.905,0.316,3.105,0.878,6.056,0.018,0.942,7.0,0
V0504,Northgate Fabrication Systems Ltd.,1.161,0.793,3.477,3.653,3.927,0.237,0.476,0.0,1
V0505,Westfield Marine Systems Ltd.,0.902,0.369,3.783,3.243,2.809,0.142,0.871,0.0,0
V0506,Southfield Technical Solutions Ltd.,0.272,0.724,2.339,0.777,6.178,0.636,0.491,6.0,1
V0507,Seabright Process Group Ltd.,1.922,0.213,3.365,0.0,11.723,0.23,0.596,2.0,0
V0508,Qua Iboe Maritime Company Ltd.,0.625,0.628,4.549,0.0,8.188,0.361,0.696,2.0,1
V0509,Escravos Marine Nig. Ltd.,1.469,0.457,2.813,1.698,6.723,0.121,0.646,5.0,0
